id,label,class,pagerank
1203,王掌柜,胡斐,0.1905
1204,张安官,陈家洛,0.19
1205,唐洋,张无忌,0.19
1206,端木元,段誉,0.1895
1207,青灵子,杨过,0.1889
1208,陈孤雁,段誉,0.1885
1209,张总管,胡斐,0.188
1210,米思翰,韦小宝,0.1877
1211,朴者和尚,段誉,0.1867
1212,邱山风,石破天,0.1865
1213,云岛主,段誉,0.1861
1214,胡青羊,张无忌,0.1854
1215,温仁厚,石破天,0.1843
1216,秦老五,张无忌,0.1838
1217,项长老,段誉,0.1837
1218,天乙道人,令狐冲,0.1829
1219,神照上人,韦小宝,0.1826
1220,蒋调侯,胡斐,0.1823
1221,图海道,韦小宝,0.1822
1222,尹章垓,陈家洛,0.1815
1223,忽都虎,郭靖,0.1814
1224,彭参将,韦小宝,0.181
1225,乔寨主,郭靖,0.1799
1226,郝密,张无忌,0.1797
1227,德成,张无忌,0.1796
1228,天狼子,段誉,0.1795
1229,黄二毛子,袁承志,0.1784
1230,阿根,段誉,0.1784
1231,李大元,石破天,0.178
1232,蛇皮张,胡斐,0.1776
1233,呼音克,陈家洛,0.1772
1234,麻衣汉子,令狐冲,0.1769
1235,王二叔,令狐冲,0.1763
1236,刘敖,张无忌,0.1763
1237,瓦尔拉齐,苏普,0.1753
1238,叶长青,张无忌,0.1752
1239,王老六,胡斐,0.1745
1240,沙广天,袁承志,0.1743
1241,菊友,狄云,0.1742
1242,唐光雄,段誉,0.1722
1243,耶律莫哥,段誉,0.1721
1244,海大富,韦小宝,0.1718
1245,西奥图三世,韦小宝,0.1714
1246,刘芹,令狐冲,0.171
1247,童大海,郭靖,0.1706
1248,菊芳,韦小宝,0.1701
1249,狄镖头,令狐冲,0.1699
1250,钟志灵,韦小宝,0.1697
1251,李式开,韦小宝,0.1695
1252,王十三,杨过,0.169
1253,祁六三,段誉,0.1681
1254,秦栋,袁承志,0.1679
1255,司徒雷,胡斐,0.1673
1256,苏梦清,张无忌,0.1665
1257,义生,袁承志,0.1664
1258,凌霜华,狄云,0.1663
1259,鄂尔多,郭靖,0.1659
1260,静智大师,曹云奇,0.1644
1261,曲傻姑,郭靖,0.1639
1262,狮鼻子,郭靖,0.1633
1263,胡德第,张无忌,0.1626
1264,江百胜,韦小宝,0.1617
1265,玉钟子,令狐冲,0.1614
1266,宝象和尚,狄云,0.1612
1267,云素梅,韦小宝,0.1604
1268,五符,令狐冲,0.1602
1269,常胜宝树王,张无忌,0.1601
1270,许卓诚,韦小宝,0.1596
1271,假东方不败,令狐冲,0.1582
1272,成高道人,令狐冲,0.1578
1273,巴颜法师,韦小宝,0.1575
1274,太虚子,张无忌,0.1573
1275,枯荣长老,段誉,0.1571
1276,李万山,石破天,0.157
1277,西门观止,郭靖,0.1559
1278,韦春花,韦小宝,0.1558
1279,劳太监,韦小宝,0.1558
1280,邝宝官,胡斐,0.1556
1281,张二叔,杨过,0.1554
1282,黄眉和尚,段誉,0.1547
