id,label,class,pagerank
487,掌钵龙头,张无忌,0.6727
488,封不平,令狐冲,0.6726
489,齐自勉,石破天,0.6688
490,施戴子,令狐冲,0.6651
491,吕留良,韦小宝,0.6649
492,龙岛主,石破天,0.6646
493,包惜弱,郭靖,0.6612
494,术赤,郭靖,0.6609
495,书僮,陈家洛,0.6605
496,熊元献,陶子安,0.6604
497,都大锦,张无忌,0.6589
498,鲍大楚,令狐冲,0.6584
499,孙思克,韦小宝,0.6534
500,钟镇,令狐冲,0.6532
501,李西华,韦小宝,0.6513
502,单铁生,袁承志,0.6498
503,空心菜,狄云,0.6489
504,阎世章,陈家洛,0.6476
505,张君宝,杨过,0.647
506,周大奶奶,陈家洛,0.645
507,吴国栋,陈家洛,0.6449
508,天山童姥,段誉,0.6444
509,蓝凤凰,令狐冲,0.6416
510,诸保昆,段誉,0.64
511,博尔术,郭靖,0.6399
512,史镖头,令狐冲,0.6393
513,殷吉,曹云奇,0.6371
514,梁自进,石破天,0.6371
515,焦文期,陈家洛,0.637
516,万庆澜,陈家洛,0.6368
517,段天德,郭靖,0.6353
518,周云阳,曹云奇,0.6348
519,汤和,张无忌,0.6348
520,姜铁山,胡斐,0.6346
521,罗人杰,令狐冲,0.6306
522,大苦,陈家洛,0.6287
523,汪啸风,狄云,0.6286
524,无尘道人,陈家洛,0.6285
525,温正,袁承志,0.6275
526,周圻,狄云,0.627
527,陈玄风,郭靖,0.626
528,马光佐,杨过,0.6255
529,沈城,狄云,0.6239
530,谭处端,郭靖,0.6238
531,温方施,袁承志,0.6206
532,脚夫,胡斐,0.6206
533,铁匠,杨过,0.6178
534,宗维侠,张无忌,0.6172
535,察合台,郭靖,0.6144
536,玄苦,段誉,0.6117
537,兰剑,段誉,0.6106
538,天镜,陈家洛,0.609
539,侍剑,石破天,0.6082
540,敖彪,韦小宝,0.6068
541,渔人,郭靖,0.6051
542,大头鬼,杨过,0.6
543,温南扬,袁承志,0.5996
544,喀丝丽,陈家洛,0.599
545,樵子,郭靖,0.5984
546,方人智,令狐冲,0.5983
547,常金鹏,张无忌,0.5951
548,曲非烟,令狐冲,0.5951
549,陶红英,韦小宝,0.5949
550,无尘道长,陈家洛,0.5942
551,瑞栋,韦小宝,0.5926
552,于嫂,令狐冲,0.5919
553,妙风使,张无忌,0.5915
554,范帮主,胡斐,0.591
555,史仲猛,杨过,0.5902
556,武烈,张无忌,0.5898
557,陆乘风,郭靖,0.5889
558,玉玑子,令狐冲,0.5879
559,陈冲之,石破天,0.5878
560,丁勉,令狐冲,0.5831
561,郁光标,段誉,0.583
562,罗大千,袁承志,0.5819
563,萧半和,卓天雄,0.5816
564,李志常,郭靖,0.5798
565,无崖子,段誉,0.5796
566,孙均,狄云,0.5776
567,木华黎,郭靖,0.5776
568,玄痛,段誉,0.5769
569,天虚,石破天,0.5753
570,古笃诚,段誉,0.5749
571,巴泰,袁承志,0.5747
572,夏国相,韦小宝,0.573
573,王武通,韦小宝,0.5722
574,都史,郭靖,0.5698
575,逍遥子,盖一鸣,0.569
576,教长,令狐冲,0.5668
577,玉如意,陈家洛,0.5637
578,冷谦,张无忌,0.5628
579,博尔忽,郭靖,0.5627
580,姬晓峰,胡斐,0.5618
581,阳顶天,张无忌,0.5611
582,吊死鬼,杨过,0.5601
583,宋长老,段誉,0.5578
584,柯万钧,石破天,0.5576
585,阿二,张无忌,0.5572
586,曾图南,陈家洛,0.5546
587,孙刚峰,胡斐,0.5537
588,慧方,段誉,0.5528
589,行颠,韦小宝,0.5515
590,摘星子,段誉,0.55
591,张康,袁承志,0.5487
592,于人豪,令狐冲,0.5481
593,无青子,胡斐,0.5477
594,齐云,袁承志,0.5459
595,司徒千钟,张无忌,0.5449
596,卢一峰,韦小宝,0.5446
597,霍元龙,苏普,0.5435
598,本观,段誉,0.5433
599,玉灵道人,令狐冲,0.5433
600,玄生,段誉,0.5426
601,孙伏虎,胡斐,0.5401
602,郭玉堂,胡斐,0.5384
603,本参,段誉,0.5356
604,钱正伦,陈家洛,0.5346
605,廖自砺,石破天,0.5339
606,薛公远,张无忌,0.5334
607,郑三娘,陶子安,0.5333
608,赛总管,胡斐,0.5328
609,澄心,韦小宝,0.5294
610,冯不摧,袁承志,0.5289
611,何三七,令狐冲,0.5282
612,李三,苏普,0.5272
613,神山上人,段誉,0.5268
614,桑土公,段誉,0.5261
615,唐文亮,张无忌,0.5261
616,教士,韦小宝,0.5258
617,李萍,郭靖,0.5255
618,红娘子,袁承志,0.5252
619,本相,段誉,0.5238
620,白寒松,韦小宝,0.5235
621,佟国纲,韦小宝,0.5221
622,萧远山,段誉,0.5221
623,邓愈,张无忌,0.521
624,玉音子,令狐冲,0.5205
625,梁发,令狐冲,0.5187
626,周牧,石破天,0.5152
627,竹剑,段誉,0.5136
628,吴道通,石破天,0.5099
629,郑镖头,令狐冲,0.5094
630,宋善朋,陈家洛,0.509
631,黄伯流,令狐冲,0.5085
632,傅思归,段誉,0.5085
633,流云使,张无忌,0.5067
634,司徒伯雷,韦小宝,0.5059
635,高老者,张无忌,0.5043
636,严三星,令狐冲,0.503
637,冯阿三,段誉,0.5026
638,王保保,张无忌,0.5022
639,辉月使,张无忌,0.5018
640,柳燕,韦小宝,0.4999
641,圆音,张无忌,0.4997
642,花剑影,盖一鸣,0.4997
643,霍阿伊,陈家洛,0.4968
644,洪人雄,令狐冲,0.4967
645,玉磬子,令狐冲,0.4962
646,展飞,石破天,0.4952
647,皇甫阁,韦小宝,0.4949
648,于万亭,陈家洛,0.4917
649,姚春,韦小宝,0.4908
650,倪不大,胡斐,0.4903
651,倪不小,胡斐,0.4903
652,杨宾,胡斐,0.4903
653,木岛主,石破天,0.4902
654,洪朝,韦小宝,0.4901
655,史登达,令狐冲,0.4895
656,彭长老,郭靖,0.4886
657,何思豪,胡斐,0.4875
658,呼延万善,石破天,0.4862
659,吕小妹,胡斐,0.4856
660,丁大全,韦小宝,0.4851
661,凌退思,狄云,0.4839
662,大智禅师,胡斐,0.4837
663,洪凌波,杨过,0.4822
664,许雪亭,韦小宝,0.4819
665,瑞婆婆,段誉,0.4806
666,辛国梁,令狐冲,0.4804
667,常长风,盖一鸣,0.4795
668,刘宗敏,袁承志,0.479
669,冯不破,袁承志,0.4789
670,王难姑,张无忌,0.4789
671,冯坦,狄云,0.4784
672,矮老者,张无忌,0.4761
673,史叔刚,杨过,0.4744
674,易三娘,张无忌,0.4738
675,吴光胜,段誉,0.4734
676,詹春,张无忌,0.4723
677,安奉日,石破天,0.4716
678,完颜洪熙,郭靖,0.4713
679,简长老,郭靖,0.4699
680,慕天颜,韦小宝,0.4665
681,陈七,令狐冲,0.4651
682,无常鬼,陈家洛,0.4651
683,大悲老人,石破天,0.4645
684,刘芳亮,袁承志,0.4627
685,李傀儡,段誉,0.4616
686,石嫂,段誉,0.4615
687,耶律燕,杨过,0.4606
688,鲜于通,张无忌,0.4599
689,孟铮,袁承志,0.4589
690,云鹤,张无忌,0.4585
691,彭三春,陈家洛,0.4577
692,童百熊,令狐冲,0.4557
693,董开山,袁承志,0.4552
694,觉远大师,张无忌,0.4551
695,高则成,张无忌,0.4546
696,静玄师太,张无忌,0.4537
697,吴大鹏,韦小宝,0.4528
698,丁坚,令狐冲,0.4526
699,宋天保,陈家洛,0.4522
700,祁清彪,韦小宝,0.4517
701,王伯奋,令狐冲,0.4514
702,黎刚,袁承志,0.451
703,王志坦,郭靖,0.4501
704,老不死,令狐冲,0.4497
705,钱通四,袁承志,0.4491
706,张淡月,韦小宝,0.449
707,史仲俊,苏普,0.4488
708,马博仁,韦小宝,0.4483
709,补锅匠,胡斐,0.4478
710,蔡威,胡斐,0.4436
711,朱祖荫,陈家洛,0.4424
712,成不忧,令狐冲,0.4412
713,蒋涛,张无忌,0.439
714,室里,段誉,0.4386
715,钟兆文,胡斐,0.4382
716,宗雄,胡斐,0.437
717,智光大师,段誉,0.4366
718,张九,胡斐,0.4365
719,闻万夫,石破天,0.4357
720,史伯威,杨过,0.4347
721,陈大方,韦小宝,0.4331
722,梁长老,郭靖,0.4328
723,姚伯当,段誉,0.432
724,守备,韦小宝,0.4319
725,罕贴摩,韦小宝,0.4317
726,汤若望,韦小宝,0.4316
727,闻先生,令狐冲,0.431
728,向大年,令狐冲,0.4307
729,桑斯,苏普,0.4302
730,吴领军,段誉,0.4297
731,刘乘风,狄云,0.4295
732,马大挺,陈家洛,0.4289
733,五姑,张无忌,0.4289
734,卓不凡,段誉,0.427
735,黄宗羲,韦小宝,0.427
736,孙三毁,张无忌,0.4241
737,笑脸鬼,杨过,0.4234
738,贝锦仪,张无忌,0.4234
739,木桑道长,袁承志,0.4196
740,圆业,张无忌,0.4188
741,温有方,韦小宝,0.418
742,赤老温,郭靖,0.4177
743,梅芳姑,石破天,0.4175
744,贾布,令狐冲,0.4173
745,上官虹,苏普,0.4173
746,高克新,令狐冲,0.4169
747,乾隆皇帝,陈家洛,0.4165
748,平婆婆,段誉,0.4155
749,殷无福,张无忌,0.4152
750,李四摧,张无忌,0.4142
751,祁天彪,张无忌,0.4115
752,胡逸之,韦小宝,0.4115
753,尉迟连,胡斐,0.4111
754,周英杰,陈家洛,0.4092
755,于管家,胡斐,0.4081
756,吴劲草,张无忌,0.4079
757,太皇太后,韦小宝,0.4078
758,潘天耕,杨过,0.4078
759,段正明,段誉,0.4064
760,司徒鹤,韦小宝,0.4064
761,王惟忠,韦小宝,0.4061
762,王仲强,令狐冲,0.4057
763,老王,陈家洛,0.4057
764,陆天抒,狄云,0.4048
765,沙老大,袁承志,0.4036
766,黎生,郭靖,0.4036
767,冯辉,陈家洛,0.4015
768,净济,韦小宝,0.4015
769,武三娘,杨过,0.4007
770,白熊,令狐冲,0.3991
771,澄通,韦小宝,0.3989
772,鹿清笃,杨过,0.398
773,辛双清,段誉,0.3979
774,花云,张无忌,0.3979
775,王家驹,令狐冲,0.396
776,吴平,袁承志,0.3953
777,天竺僧,杨过,0.3945
778,于八,韦小宝,0.3943
779,童怀道,胡斐,0.3943
780,元义方,韦小宝,0.3937
781,钟兆英,胡斐,0.3934
782,大痴,陈家洛,0.3929
783,齐洛诺夫,韦小宝,0.3925
784,西宝,令狐冲,0.3925
785,赫连铁树,段誉,0.3903
786,黑熊,令狐冲,0.3901
787,觉月,令狐冲,0.3894
788,慧真,段誉,0.3887
789,林远图,令狐冲,0.3883
790,丧门鬼,杨过,0.3855
791,易师爷,令狐冲,0.3837
792,符敏仪,段誉,0.3837
793,史松,韦小宝,0.383
794,大癫,陈家洛,0.383
795,覃天丞,陈家洛,0.3827
796,卫四娘,张无忌,0.3821
797,文醉翁,胡斐,0.3812
798,公孙绿萼,杨过,0.3809
799,易大彪,段誉,0.3803
800,侯人英,令狐冲,0.3792
801,杜百当,张无忌,0.379
802,钱二败,张无忌,0.3783
803,夏胄,张无忌,0.3773
804,华伯斯基,韦小宝,0.3759
805,净清,韦小宝,0.3758
806,吴良,张无忌,0.3754
807,南怀仁,韦小宝,0.3746
808,赵一伤,张无忌,0.3738
809,马佑,韦小宝,0.3733
810,止清,段誉,0.3732
811,耶律重元,耶律涅鲁古,0.373
812,耶律涅鲁古,耶律重元,0.373
813,郑长老,张无忌,0.3718
814,张一氓,黄蓉,0.3717
815,殷锦,韦小宝,0.3716
816,石骏,袁承志,0.3716
817,岳老三,段誉,0.3712
818,庄允城,韦小宝,0.371
819,平四,胡斐,0.3709
820,褚圆,陈家洛,0.3706
821,殷无禄,张无忌,0.3694
822,宁完我,袁承志,0.3691
823,马齐,陈家洛,0.3688
824,百草仙,黄蓉,0.3677
825,游骥,段誉,0.3676
826,乐厚,令狐冲,0.3663
827,米为义,令狐冲,0.3663
828,易国梓,令狐冲,0.3649
829,哑婆婆,令狐冲,0.3647
830,史红石,张无忌,0.3638
831,宫九佳,张无忌,0.363
832,袁夫人,卓天雄,0.3616
833,张春九,袁承志,0.3607
834,龙德邻,袁承志,0.3604
835,桃红,狄云,0.3601
836,常敬之,张无忌,0.36
837,施令威,令狐冲,0.3599
838,黄希节,胡斐,0.3598
839,小沙弥,郭靖,0.3596
840,祖大寿,袁承志,0.3593
841,范中恩,陈家洛,0.3582
842,刘竹庄,段誉,0.3569
843,温有道,韦小宝,0.3563
844,方有德,陈家洛,0.3558
845,上官铁生,胡斐,0.3549
846,贾人达,令狐冲,0.3544
847,袁枚,郑板桥,0.3543
848,汪万翼,石破天,0.3541
849,马大鸣,狄云,0.3541
850,潘秀达,袁承志,0.3534
851,米横野,石破天,0.353
852,长青子,令狐冲,0.3515
853,鲍千灵,段誉,0.351
854,鲍承先,袁承志,0.3508
855,姚清泉,张无忌,0.35
856,圣因师太,黄蓉,0.3494
857,催命鬼,杨过,0.3492
858,静慧,张无忌,0.3487
859,崔镖头,令狐冲,0.3484
860,静虚师太,张无忌,0.3482
861,上官毅山,陈家洛,0.3465
862,马法通,张无忌,0.3456
863,齐元凯,韦小宝,0.3455
864,殷无寿,张无忌,0.3452
865,苟读,段誉,0.3448
866,游驹,段誉,0.3446
867,贾老六,韦小宝,0.3443
868,戴永明,陈家洛,0.3439
869,麦鲸,张无忌,0.3432
870,司马大,令狐冲,0.3432
871,武铭,陈家洛,0.3431
872,冯同知,袁承志,0.3426
873,吴祯,张无忌,0.3412
874,南兰,胡斐,0.3405
875,石清露,段誉,0.3402
876,蓝秦,胡斐,0.3395
877,雷一啸,韦小宝,0.3387
878,冯默风,杨过,0.3384
879,孟铸,袁承志,0.3384
880,奚长老,段誉,0.3382
881,宋德方,郭靖,0.336
882,慧观,段誉,0.3357
883,易吉,胡斐,0.3354
884,照虚,石破天,0.3353
885,林朝英,杨过,0.3344
886,韩春霖,陈家洛,0.3343
887,冯振武,石破天,0.3342
888,杜希孟,胡斐,0.3341
889,曹能,陈家洛,0.333
890,方天劳,杨过,0.3328
891,德布,陈家洛,0.3327
892,苏习之,张无忌,0.3322
893,琴儿,胡斐,0.3318
894,卫天望,杨过,0.3317
895,老吴,韦小宝,0.3317
896,和尔大,陈家洛,0.331
897,心溪,韦小宝,0.3307
898,万里风,袁承志,0.3306
899,高里津,韦小宝,0.3299
900,英白罗,令狐冲,0.3294
901,邓八公,令狐冲,0.3294
902,季镖头,令狐冲,0.3282
903,杰书,韦小宝,0.3271
904,阿里,陈家洛,0.3267
905,田见秀,袁承志,0.3254
906,欧阳公政,胡斐,0.3253
907,侯飞文,袁承志,0.325
908,迟玄,陈家洛,0.3243
909,忽伦大虎,陈家洛,0.3235
910,马敬侠,陈家洛,0.3235
911,元澄道人,石破天,0.3223
912,龙骏,陈家洛,0.3219
913,蒙哥,郭靖,0.3216
914,郑板桥,郑板桥,0.3208
915,沈德潜,郑板桥,0.3208
916,杨夫人,张无忌,0.3207
917,葛长老,令狐冲,0.3197
918,祁志诚,郭靖,0.3192
919,枯木,郭靖,0.318
920,范文程,袁承志,0.3177
921,章老三,韦小宝,0.3161
922,小翠,石破天,0.3161
923,解风,令狐冲,0.316
924,水云道人,袁承志,0.3151
925,人厨子,黄蓉,0.3146
926,余人彦,令狐冲,0.3141
927,史秉光,袁承志,0.3135
928,吕文德,郭靖,0.3132
929,中年武师,胡斐,0.3115
930,俏鬼,杨过,0.3112
931,过三拳,张无忌,0.3102
932,裘千丈,郭靖,0.3092
933,马青雄,郭靖,0.3078
934,马宝,韦小宝,0.3074
935,龚光杰,段誉,0.3053
936,黄国柏,令狐冲,0.3045
937,水鉴,袁承志,0.3037
938,张若谷,袁承志,0.3037
939,庄夫人,韦小宝,0.3033
940,子聪,郭靖,0.3021
941,吴长风,段誉,0.3021
942,陶钧,令狐冲,0.3018
943,梦姑,段誉,0.3017
944,史小翠,石破天,0.3016
945,者勒米,郭靖,0.3012
946,王家骏,令狐冲,0.3011
947,钱青健,郭靖,0.301
948,阎世魁,陈家洛,0.3008
949,汪浩天,陈家洛,0.3003
950,南仁通,胡斐,0.3002
951,张信,袁承志,0.2992
952,邵鹤,张无忌,0.2981
953,安剑清,袁承志,0.2976
954,梅文馨,石破天,0.2976
955,农妇,袁承志,0.2973
956,阿济赤,韦小宝,0.295
957,曹司朋,陈家洛,0.2947
958,聂钺,胡斐,0.2943
959,慧净,段誉,0.2942
960,马公子,袁承志,0.2937
961,王潭,韦小宝,0.2931
962,岑其斯,袁承志,0.2927
963,余婆婆,段誉,0.2912
964,沈青刚,郭靖,0.2904
965,贝人龙,陈家洛,0.2903
966,天松道人,令狐冲,0.2902
967,史秉文,袁承志,0.29
968,平旺先,陈家洛,0.29
969,王铁匠,胡斐,0.2899
970,胖商人,胡斐,0.2891
971,无相禅师,杨过,0.289
972,吴六破,张无忌,0.2884
973,孙万年,石破天,0.2874
974,褚万春,石破天,0.2874
975,严妈妈,段誉,0.2873
976,澄识,韦小宝,0.2867
977,夏雪宜,袁承志,0.2865
978,麦少帮主,张无忌,0.2863
979,耶律楚材,杨过,0.2855
980,封坛主,张无忌,0.2852
981,瘦丐,郭靖,0.2851
982,马五德,段誉,0.2843
983,蒋天寿,陈家洛,0.2827
984,郭破虏,杨过,0.2811
985,努儿海,段誉,0.281
986,梅良鸣,陈家洛,0.2808
987,齐伯涛,胡斐,0.2795
988,陈高波,胡斐,0.2795
989,季长老,张无忌,0.2792
990,孙老三,陈家洛,0.2788
991,胡老三,袁承志,0.2785
992,吴青烈,郭靖,0.2773
993,陆伯,陈家洛,0.2772
994,黄甫,韦小宝,0.2768
995,丁游,袁承志,0.2755
996,小凤,张无忌,0.275
997,相国夫人,胡斐,0.2749
998,小王将军,韦小宝,0.2749
999,呼巴音,韦小宝,0.2747
1000,申人俊,令狐冲,0.2747
1001,桑三娘,令狐冲,0.2746
1002,若克琳,袁承志,0.2742
1003,杨光,石破天,0.2738
1004,方东白,张无忌,0.2733
1005,钟兆能,胡斐,0.2728
1006,瘦商人,胡斐,0.2721
1007,狄修,令狐冲,0.2706
1008,建除,令狐冲,0.2705
1009,吉人通,令狐冲,0.2703
1010,解文豹,石破天,0.2703
1011,丑脸汉子,石破天,0.2699
1012,单伯山,段誉,0.2698
1013,程坛主,张无忌,0.2698
1014,辛然,张无忌,0.2693
1015,姜师叔,段誉,0.2692
1016,尤得胜,石破天,0.2687
1017,舒奇,令狐冲,0.268
1018,元悲,陈家洛,0.2679
1019,元伤,陈家洛,0.2679
1020,元痛,陈家洛,0.2679
1021,白脸人,袁承志,0.2675
1022,黄须人,袁承志,0.2675
1023,乌旺阿普,张无忌,0.2665
1024,胡夫人,张无忌,0.2664
1025,邝天雄,韦小宝,0.2658
1026,罗信,陈家洛,0.2653
1027,灵虚,石破天,0.2647
1028,张中,张无忌,0.2647
1029,教书先生,狄云,0.2636
1030,察罕特穆尔,张无忌,0.2636
